max in k: 1366.064001, sumS: 25896930697.926529, total var 26053589104.478317
max in k: 1361.798343, sumS: 25898785192.654083, total var 26053589104.478317
max in k: 1353.315614, sumS: 25900616655.805080, total var 26053589104.478317
max in k: 1351.757840, sumS: 25902443905.063053, total var 26053589104.478317
max in k: 1344.187503, sumS: 25904250745.107159, total var 26053589104.478317
max in k: 1342.592038, sumS: 25906053298.487385, total var 26053589104.478317
max in k: 1333.239290, sumS: 25907830825.493084, total var 26053589104.478317
max in k: 1332.955493, sumS: 25909607595.838837, total var 26053589104.478317
max in k: 1323.389945, sumS: 25911358956.786552, total var 26053589104.478317
max in k: 1318.726964, sumS: 25913097997.591076, total var 26053589104.478317
max in k: 1311.780855, sumS: 25914818766.603046, total var 26053589104.478317
max in k: 1306.801528, sumS: 25916526496.836132, total var 26053589104.478317
max in k: 1297.224500, sumS: 25918209288.240395, total var 26053589104.478317
max in k: 1289.391562, sumS: 25919871818.839851, total var 26053589104.478317
max in k: 1286.470721, sumS: 25921526825.756226, total var 26053589104.478317
max in k: 1282.073951, sumS: 25923170539.372349, total var 26053589104.478317
max in k: 1272.648172, sumS: 25924790172.741333, total var 26053589104.478317
max in k: 1270.693893, sumS: 25926404835.710552, total var 26053589104.478317
max in k: 1265.742243, sumS: 25928006939.136707, total var 26053589104.478317
max in k: 1257.322459, sumS: 25929587798.903328, total var 26053589104.478317
max in k: 1254.861957, sumS: 25931162477.435028, total var 26053589104.478317
max in k: 1250.519107, sumS: 25932726275.472797, total var 26053589104.478317
max in k: 1243.204415, sumS: 25934271832.690716, total var 26053589104.478317
max in k: 1240.272016, sumS: 25935810107.365589, total var 26053589104.478317
max in k: 1227.054748, sumS: 25937315770.719238, total var 26053589104.478317
max in k: 1225.438201, sumS: 25938817469.504696, total var 26053589104.478317
max in k: 1219.148281, sumS: 25940303792.036663, total var 26053589104.478317
max in k: 1211.194645, sumS: 25941770784.504005, total var 26053589104.478317
max in k: 1206.220389, sumS: 25943225752.130936, total var 26053589104.478317
max in k: 1202.503247, sumS: 25944671766.189541, total var 26053589104.478317
max in k: 1193.517759, sumS: 25946096250.829418, total var 26053589104.478317
max in k: 1189.956622, sumS: 25947512247.590939, total var 26053589104.478317
max in k: 1187.836151, sumS: 25948923202.313114, total var 26053589104.478317
max in k: 1186.994080, sumS: 25950332157.258732, total var 26053589104.478317
max in k: 1184.801553, sumS: 25951735911.979061, total var 26053589104.478317
max in k: 1178.580132, sumS: 25953124963.106159, total var 26053589104.478317
max in k: 1166.798750, sumS: 25954486382.429955, total var 26053589104.478317
max in k: 1163.537564, sumS: 25955840202.091724, total var 26053589104.478317
max in k: 1156.192922, sumS: 25957176984.164429, total var 26053589104.478317
max in k: 1152.985086, sumS: 25958506358.772125, total var 26053589104.478317
max in k: 1146.316085, sumS: 25959820399.338165, total var 26053589104.478317
max in k: 1142.967008, sumS: 25961126772.920254, total var 26053589104.478317
max in k: 1135.243548, sumS: 25962415550.834080, total var 26053589104.478317
max in k: 1132.941476, sumS: 25963699107.222176, total var 26053589104.478317
max in k: 1125.753107, sumS: 25964966427.279156, total var 26053589104.478317
max in k: 1123.670030, sumS: 25966229061.615387, total var 26053589104.478317
max in k: 1119.646050, sumS: 25967482668.891872, total var 26053589104.478317
max in k: 1116.153789, sumS: 25968728468.173431, total var 26053589104.478317
max in k: 1106.959864, sumS: 25969953828.314297, total var 26053589104.478317
max in k: 1101.964010, sumS: 25971168152.993282, total var 26053589104.478317
max in k: 1100.159638, sumS: 25972378504.223465, total var 26053589104.478317
max in k: 1095.164110, sumS: 25973577888.651546, total var 26053589104.478317
max in k: 1092.809490, sumS: 25974772121.232956, total var 26053589104.478317
max in k: 1086.282213, sumS: 25975952130.279957, total var 26053589104.478317
max in k: 1076.645834, sumS: 25977111296.530888, total var 26053589104.478317
max in k: 1071.630544, sumS: 25978259688.554039, total var 26053589104.478317
max in k: 1061.823914, sumS: 25979387158.579220, total var 26053589104.478317
max in k: 1059.206629, sumS: 25980509077.262592, total var 26053589104.478317
max in k: 1058.314060, sumS: 25981629105.912903, total var 26053589104.478317
max in k: 1052.910459, sumS: 25982737726.346828, total var 26053589104.478317
max in k: 1050.381607, sumS: 25983841027.866596, total var 26053589104.478317
max in k: 1041.282087, sumS: 25984925296.252018, total var 26053589104.478317
max in k: 1034.557292, sumS: 25985995605.043381, total var 26053589104.478317
max in k: 1033.129463, sumS: 25987062961.530445, total var 26053589104.478317
max in k: 1025.074004, sumS: 25988113738.243645, total var 26053589104.478317
max in k: 1019.737533, sumS: 25989153602.880661, total var 26053589104.478317
max in k: 1005.771147, sumS: 25990165178.480518, total var 26053589104.478317
max in k: 1000.973664, sumS: 25991167126.756889, total var 26053589104.478317
max in k: 1000.252108, sumS: 25992167631.037380, total var 26053589104.478317
max in k: 996.494443, sumS: 25993160632.211967, total var 26053589104.478317
max in k: 986.651820, sumS: 25994134114.025822, total var 26053589104.478317
max in k: 984.682776, sumS: 25995103714.196053, total var 26053589104.478317
max in k: 982.609477, sumS: 25996069235.580490, total var 26053589104.478317
max in k: 980.777335, sumS: 25997031159.760902, total var 26053589104.478317
max in k: 967.164374, sumS: 25997966566.686291, total var 26053589104.478317
max in k: 964.568449, sumS: 25998896958.978321, total var 26053589104.478317
max in k: 960.117943, sumS: 25999818785.441940, total var 26053589104.478317
max in k: 955.894599, sumS: 26000732519.926590, total var 26053589104.478317
max in k: 952.704906, sumS: 26001640166.564762, total var 26053589104.478317
max in k: 942.335486, sumS: 26002528162.732288, total var 26053589104.478317
max in k: 931.463053, sumS: 26003395786.150902, total var 26053589104.478317
max in k: 924.767437, sumS: 26004250980.962536, total var 26053589104.478317
max in k: 922.953799, sumS: 26005102824.677273, total var 26053589104.478317
max in k: 921.174262, sumS: 26005951386.697338, total var 26053589104.478317
max in k: 913.033560, sumS: 26006785016.979881, total var 26053589104.478317
max in k: 910.964688, sumS: 26007614873.643345, total var 26053589104.478317
max in k: 902.066593, sumS: 26008428597.780998, total var 26053589104.478317
max in k: 896.115838, sumS: 26009231621.376862, total var 26053589104.478317
max in k: 890.292914, sumS: 26010024242.849155, total var 26053589104.478317
max in k: 885.103122, sumS: 26010807650.385696, total var 26053589104.478317
max in k: 881.471957, sumS: 26011584643.197487, total var 26053589104.478317
max in k: 877.020086, sumS: 26012353807.428162, total var 26053589104.478317
max in k: 870.132173, sumS: 26013110937.427483, total var 26053589104.478317
max in k: 864.072048, sumS: 26013857557.931156, total var 26053589104.478317
max in k: 862.472328, sumS: 26014601416.447372, total var 26053589104.478317
max in k: 853.465383, sumS: 26015329819.606735, total var 26053589104.478317
max in k: 842.039099, sumS: 26016038849.450748, total var 26053589104.478317
max in k: 837.660126, sumS: 26016740523.938110, total var 26053589104.478317
max in k: 830.870615, sumS: 26017430869.917652, total var 26053589104.478317
max in k: 825.424582, sumS: 26018112195.658974, total var 26053589104.478317
max in k: 819.190652, sumS: 26018783268.983093, total var 26053589104.478317
max in k: 816.045868, sumS: 26019449199.841602, total var 26053589104.478317
max in k: 802.375138, sumS: 26020093005.703690, total var 26053589104.478317
max in k: 796.957448, sumS: 26020728146.878342, total var 26053589104.478317
max in k: 792.965048, sumS: 26021356940.445255, total var 26053589104.478317
max in k: 789.145700, sumS: 26021979691.381470, total var 26053589104.478317
max in k: 781.888436, sumS: 26022591040.908268, total var 26053589104.478317
max in k: 778.925139, sumS: 26023197765.281071, total var 26053589104.478317
max in k: 774.144801, sumS: 26023797065.454334, total var 26053589104.478317
max in k: 768.069877, sumS: 26024386996.790707, total var 26053589104.478317
max in k: 760.926035, sumS: 26024966005.221550, total var 26053589104.478317
max in k: 755.209813, sumS: 26025536347.083786, total var 26053589104.478317
max in k: 752.516327, sumS: 26026102627.905598, total var 26053589104.478317
max in k: 744.559098, sumS: 26026656996.156525, total var 26053589104.478317
max in k: 738.664262, sumS: 26027202621.048824, total var 26053589104.478317
max in k: 735.446138, sumS: 26027743502.070957, total var 26053589104.478317
